start_point,end_point,bearing_degrees,bearing_minutes,distance_in_meters
1,2,56,20,30.81
2,3,150,29,136
3,4,58,38,6.15
4,5,56,42,53.95
5,6,168,28,6.5
6,7,232,29,67.82
7,8,232,13,51.09
8,9,230,11,8.46
9,10,236,41,42.72
10,11,195,25,28.58
11,12,206,30,4.44
12,13,188,58,19.88
13,14,207,18,35.54
14,15,350,35,32.69
15,16,259,15,28.21
16,17,282,41,48.9
17,18,244,50,41.85
18,19,301,4,23.33
19,20,355,48,20.06
20,21,309,6,82.64
21,22,59,5,82.73
22,23,53,30,165.01
23,1,56,33,25.96
